?????? (?)	????????? ?? ($)	????????? ?? ($)	??????????	??????????? (%)
1	-8700	-8600	1	0,0014
1	-5200	-5100	1	0,0014
1	-5000	-4900	1	0,0014
1	-4500	-4400	1	0,0014
1	-4400	-4300	1	0,0014
1	-3800	-3700	1	0,0014
1	-3700	-3600	1	0,0014
1	-3600	-3500	1	0,0014
1	-3500	-3400	1	0,0014
1	-3400	-3300	2	0,0029
1	-3300	-3200	1	0,0014
1	-3200	-3100	2	0,0029
1	-3100	-3000	2	0,0029
1	-3000	-2900	3	0,0043
1	-2800	-2700	1	0,0014
1	-2700	-2600	3	0,0043
1	-2600	-2500	12	0,0171
1	-2500	-2400	5	0,0071
1	-2400	-2300	11	0,0157
1	-2300	-2200	6	0,0086
1	-2200	-2100	13	0,0185
1	-2100	-2000	15	0,0214
1	-2000	-1900	28	0,0399
1	-1900	-1800	19	0,0271
1	-1800	-1700	24	0,0342
1	-1700	-1600	33	0,0471
1	-1600	-1500	39	0,0556
1	-1500	-1400	57	0,0813
1	-1400	-1300	67	0,0955
1	-1300	-1200	89	0,1269
1	-1200	-1100	127	0,1811
1	-1100	-1000	153	0,2182
1	-1000	-900	173	0,2467
1	-900	-800	270	0,385
1	-800	-700	389	0,5547
1	-700	-600	561	0,8
1	-600	-500	836	1,1922
1	-500	-400	1235	1,7612
1	-400	-300	2091	2,9819
1	-300	-200	3680	5,2478
1	-200	-100	7036	10,0337
1	-100	0	17571	25,057
1	0	100	17884	25,5034
1	100	200	7319	10,4372
1	200	300	3856	5,4988
1	300	400	2232	3,1829
1	400	500	1332	1,8995
1	500	600	856	1,2207
1	600	700	559	0,7972
1	700	800	403	0,5747
1	800	900	281	0,4007
1	900	1000	203	0,2895
1	1000	1100	152	0,2168
1	1100	1200	100	0,1426
1	1200	1300	81	0,1155
1	1300	1400	61	0,087
1	1400	1500	43	0,0613
1	1500	1600	33	0,0471
1	1600	1700	33	0,0471
1	1700	1800	28	0,0399
1	1800	1900	17	0,0242
1	1900	2000	18	0,0257
1	2000	2100	11	0,0157
1	2100	2200	12	0,0171
1	2200	2300	8	0,0114
1	2300	2400	10	0,0143
1	2400	2500	4	0,0057
1	2500	2600	2	0,0029
1	2600	2700	1	0,0014
1	2700	2800	3	0,0043
1	2800	2900	3	0,0043
1	2900	3000	3	0,0043
1	3000	3100	1	0,0014
1	3200	3300	2	0,0029
1	3300	3400	1	0,0014
1	3500	3600	2	0,0029
1	3700	3800	3	0,0043
1	3900	4000	2	0,0029
1	5100	5200	1	0,0014
1	6000	6100	1	0,0014
2	-7700	-7600	1	0,0014
2	-5400	-5300	1	0,0014
2	-5300	-5200	1	0,0014
2	-4800	-4700	3	0,0043
2	-4700	-4600	1	0,0014
2	-4500	-4400	1	0,0014
2	-4400	-4300	1	0,0014
2	-4300	-4200	2	0,0029
2	-4200	-4100	3	0,0043
2	-4000	-3900	1	0,0014
2	-3900	-3800	1	0,0014
2	-3800	-3700	2	0,0029
2	-3700	-3600	1	0,0014
2	-3600	-3500	1	0,0014
2	-3500	-3400	4	0,0057
2	-3400	-3300	1	0,0014
2	-3300	-3200	9	0,0128
2	-3200	-3100	7	0,01
2	-3100	-3000	8	0,0114
2	-3000	-2900	8	0,0114
2	-2900	-2800	13	0,0185
2	-2800	-2700	17	0,0242
2	-2700	-2600	15	0,0214
2	-2600	-2500	26	0,0371
2	-2500	-2400	26	0,0371
2	-2400	-2300	25	0,0357
2	-2300	-2200	22	0,0314
2	-2200	-2100	35	0,0499
2	-2100	-2000	47	0,067
2	-2000	-1900	38	0,0542
2	-1900	-1800	70	0,0998
2	-1800	-1700	74	0,1055
2	-1700	-1600	82	0,1169
2	-1600	-1500	74	0,1055
2	-1500	-1400	116	0,1654
2	-1400	-1300	147	0,2096
2	-1300	-1200	179	0,2553
2	-1200	-1100	224	0,3194
2	-1100	-1000	304	0,4335
2	-1000	-900	381	0,5433
2	-900	-800	465	0,6631
2	-800	-700	612	0,8728
2	-700	-600	877	1,2507
2	-600	-500	1175	1,6757
2	-500	-400	1710	2,4386
2	-400	-300	2609	3,7207
2	-300	-200	3976	5,6701
2	-200	-100	6642	9,4721
2	-100	0	14318	20,4187
2	0	100	14596	20,8152
2	100	200	7113	10,1437
